year,season,round,team,updated
2003,2003/04,F,AS Monaco,2023-06-16
2003,2003/04,F,FC Porto,2023-06-16
2003,2003/04,SF,FC Porto,2023-06-16
2003,2003/04,SF,Deportivo La Coruña,2023-06-16
2003,2003/04,SF,AS Monaco,2023-06-16
2003,2003/04,SF,Chelsea,2023-06-16
2003,2003/04,QF,Chelsea,2023-06-16
2003,2003/04,QF,Arsenal,2023-06-16
2003,2003/04,QF,Real Madrid,2023-06-16
2003,2003/04,QF,AS Monaco,2023-06-16
2003,2003/04,QF,AC Milan,2023-06-16
2003,2003/04,QF,Deportivo La Coruña,2023-06-16
2003,2003/04,QF,FC Porto,2023-06-16
2003,2003/04,QF,Olympique Lyon,2023-06-16
2003,2003/04,R16,Lokomotiv Moscow,2023-06-16
2003,2003/04,R16,AS Monaco,2023-06-16
2003,2003/04,R16,Sparta Praha,2023-06-16
2003,2003/04,R16,AC Milan,2023-06-16
2003,2003/04,R16,Bayern München,2023-06-16
2003,2003/04,R16,Real Madrid,2023-06-16
2003,2003/04,R16,Celta de Vigo,2023-06-16
2003,2003/04,R16,Arsenal,2023-06-16
2003,2003/04,R16,Deportivo La Coruña,2023-06-16
2003,2003/04,R16,Juventus,2023-06-16
2003,2003/04,R16,Real Sociedad,2023-06-16
2003,2003/04,R16,Olympique Lyon,2023-06-16
2003,2003/04,R16,FC Porto,2023-06-16
2003,2003/04,R16,Manchester United,2023-06-16
2003,2003/04,R16,VfB Stuttgart,2023-06-16
2003,2003/04,R16,Chelsea,2023-06-16
2003,2003/04,GS,AC Milan,2023-06-16
2003,2003/04,GS,Club Brugge,2023-06-16
2003,2003/04,GS,Ajax,2023-06-16
2003,2003/04,GS,Celta de Vigo,2023-06-16
2003,2003/04,GS,Ajax,2023-06-16
2003,2003/04,GS,Club Brugge,2023-06-16
2003,2003/04,GS,Celta de Vigo,2023-06-16
2003,2003/04,GS,AC Milan,2023-06-16
2003,2003/04,GS,Club Brugge,2023-06-16
2003,2003/04,GS,Celta de Vigo,2023-06-16
2003,2003/04,GS,AC Milan,2023-06-16
2003,2003/04,GS,Ajax,2023-06-16
2003,2003/04,GS,Sparta Praha,2023-06-16
2003,2003/04,GS,Besiktas,2023-06-16
2003,2003/04,GS,Chelsea,2023-06-16
2003,2003/04,GS,Lazio,2023-06-16
2003,2003/04,GS,Chelsea,2023-06-16
2003,2003/04,GS,Besiktas,2023-06-16
2003,2003/04,GS,Lazio,2023-06-16
2003,2003/04,GS,Sparta Praha,2023-06-16
2003,2003/04,GS,Besiktas,2023-06-16
2003,2003/04,GS,Lazio,2023-06-16
2003,2003/04,GS,Sparta Praha,2023-06-16
2003,2003/04,GS,Chelsea,2023-06-16
2003,2003/04,GS,Real Madrid,2023-06-16
2003,2003/04,GS,Partizan Belgrade,2023-06-16
2003,2003/04,GS,Olympique Marseille,2023-06-16
2003,2003/04,GS,FC Porto,2023-06-16
2003,2003/04,GS,Olympique Marseille,2023-06-16
2003,2003/04,GS,Partizan Belgrade,2023-06-16
2003,2003/04,GS,FC Porto,2023-06-16
2003,2003/04,GS,Real Madrid,2023-06-16
2003,2003/04,GS,Partizan Belgrade,2023-06-16
2003,2003/04,GS,FC Porto,2023-06-16
2003,2003/04,GS,Real Madrid,2023-06-16
2003,2003/04,GS,Olympique Marseille,2023-06-16
2003,2003/04,GS,Glasgow Rangers,2023-06-16
2003,2003/04,GS,Manchester United,2023-06-16
2003,2003/04,GS,VfB Stuttgart,2023-06-16
2003,2003/04,GS,Panathinaikos,2023-06-16
2003,2003/04,GS,VfB Stuttgart,2023-06-16
2003,2003/04,GS,Manchester United,2023-06-16
2003,2003/04,GS,Panathinaikos,2023-06-16
2003,2003/04,GS,Glasgow Rangers,2023-06-16
2003,2003/04,GS,Manchester United,2023-06-16
2003,2003/04,GS,Panathinaikos,2023-06-16
2003,2003/04,GS,Glasgow Rangers,2023-06-16
2003,2003/04,GS,VfB Stuttgart,2023-06-16
2003,2003/04,GS,Juventus,2023-06-16
2003,2003/04,GS,Real Sociedad,2023-06-16
2003,2003/04,GS,Galatasaray,2023-06-16
2003,2003/04,GS,Olympiakos Piraeus,2023-06-16
2003,2003/04,GS,Galatasaray,2023-06-16
2003,2003/04,GS,Real Sociedad,2023-06-16
2003,2003/04,GS,Olympiakos Piraeus,2023-06-16
2003,2003/04,GS,Juventus,2023-06-16
2003,2003/04,GS,Real Sociedad,2023-06-16
2003,2003/04,GS,Olympiakos Piraeus,2023-06-16
2003,2003/04,GS,Juventus,2023-06-16
2003,2003/04,GS,Galatasaray,2023-06-16
