Team,Player_Name,Min,Starting_Minute,jornada
Almería,Diego Mariño,90,0,1
Almería,Édgar González,90,0,1
Almería,Iddrisu Baba,76,0,1
Almería,Lucas Robertone,77,0,1
Almería,Largie Ramazani,82,0,1
Almería,Luis Javier Suárez,90,0,1
Almería,Adri Embarba,90,0,1
Almería,Lázaro,45,0,1
Almería,Sergio Akieme,90,0,1
Almería,Alejandro Pozo Pozo,65,0,1
Almería,Srđan Babić,90,0,1
Almería,Dion Lopy,13,77,1
Almería,Gonzalo Melero,14,76,1
Almería,Pubill,25,65,1
Almería,Sergio Arribas,45,45,1
Almería,Marko Milovanović,8,82,1
Rayo Vallecano,Stole Dimitrievski,90,0,1
Rayo Vallecano,Aridane Hernández,90,0,1
Rayo Vallecano,Isaac Palazón Camacho,90,0,1
Rayo Vallecano,Óscar Trejo,62,0,1
Rayo Vallecano,Randy Ntekja,81,0,1
Rayo Vallecano,Alfonso Espino,90,0,1
Rayo Vallecano,Unai López,45,0,1
Rayo Vallecano,Álvaro García,85,0,1
Rayo Vallecano,Iván Balliu,90,0,1
Rayo Vallecano,Óscar Valentín,85,0,1
Rayo Vallecano,Florian Lejeune,90,0,1
Rayo Vallecano,Pep Chavarría,5,85,1
Rayo Vallecano,Radamel Falcao,9,81,1
Rayo Vallecano,Salvi,28,62,1
Rayo Vallecano,Pathé Ciss,45,45,1
Rayo Vallecano,Diego Méndez,5,85,1
Sevilla,Yassine Bounou,90,0,1
Sevilla,Lucas Ocampos,90,0,1
Sevilla,Nemanja Gudelj,90,0,1
Sevilla,Suso,90,0,1
Sevilla,Ivan Rakitić,90,0,1
Sevilla,Youssef En-Nesyri,81,0,1
Sevilla,Jesús Navas,68,0,1
Sevilla,Érik Lamela,55,0,1
Sevilla,Marcos Acuña,90,0,1
Sevilla,Fernando,68,0,1
Sevilla,Loïc Bade,80,0,1
Sevilla,Federico Gattoni,9,81,1
Sevilla,Djibril Sow,22,68,1
Sevilla,Óliver Torres,35,55,1
Sevilla,Juanlu Sánchez,22,68,1
Valencia,Giorgi Mamardashvili,90,0,1
Valencia,Mouctar Diakhaby,90,0,1
Valencia,Gabriel Paulista,90,0,1
Valencia,Hugo Duro,90,0,1
Valencia,Domingos André Ribeiro Almeida,61,0,1
Valencia,Thierry Correia,90,0,1
Valencia,José Luis Gayà,86,0,1
Valencia,Cenk Özkacar,90,0,1
Valencia,Diego López,64,0,1
Valencia,José Luis García Vayá,90,0,1
Valencia,Francisco Perez,60,0,1
Valencia,Javier Guerra,29,61,1
Valencia,Dimitri Foulquier,30,60,1
Valencia,Jesus Vazquez,4,86,1
Valencia,Pablo Gozalbez,26,64,1
Real Sociedad,Álex Remiro,90,0,1
Real Sociedad,Aihen Muñoz,90,0,1
Real Sociedad,Martín Zubimendi,90,0,1
Real Sociedad,Igor Zubeldia,90,0,1
Real Sociedad,Carlos Fernández,58,0,1
Real Sociedad,Mikel Oyarzabal,73,0,1
Real Sociedad,Takefusa Kubo,73,0,1
Real Sociedad,Hamari Traoré,73,0,1
Real Sociedad,Beñat Turrientes,79,0,1
Real Sociedad,Brais Méndez,90,0,1
Real Sociedad,Robin Le Normand,90,0,1
Real Sociedad,Alex Sola,17,73,1
Real Sociedad,Ander Barrenetxea,32,58,1
Real Sociedad,Mohamed Ali Cho,17,73,1
Real Sociedad,Olasagasti,11,79,1
Real Sociedad,Umar Sadiq,17,73,1
Girona,Paulo Gazzaniga,90,0,1
Girona,Miguel Gutiérrez,90,0,1
Girona,Arnau Martinez,89,0,1
Girona,David López,90,0,1
Girona,Cristhian Stuani,63,0,1
Girona,Viktor Tsyhankov,90,0,1
Girona,Aleix García,90,0,1
Girona,Sávio,63,0,1
Girona,Daley Blind,90,0,1
Girona,Yan Couto,63,0,1
Girona,Yangel Herrera,85,0,1
Girona,Bernardo Espinosa,1,89,1
Girona,Artem Dovbyk,27,63,1
Girona,Valery Fernández,27,63,1
Girona,Pablo Torre,27,63,1
Girona,Iván Martín,5,85,1
Las Palmas,Álvaro Vallés,90,0,1
Las Palmas,Álex Suárez,90,0,1
Las Palmas,Javier Muñoz,90,0,1
Las Palmas,Sandro Ramírez,90,0,1
Las Palmas,Enzo Loiodice,90,0,1
Las Palmas,Álvaro Lemos,90,0,1
Las Palmas,Daley Sinkgraven,63,0,1
Las Palmas,Marc Cardona,63,0,1
Las Palmas,Kirian Rodríguez,84,0,1
Las Palmas,Jonathan Viera,90,0,1
Las Palmas,Saúl Coco,90,0,1
Las Palmas,Sergi Cardona,27,63,1
Las Palmas,Munir El Haddadi,27,63,1
Las Palmas,Omenuke Mfulu,6,84,1
Mallorca,Predrag Rajković,90,0,1
Mallorca,Omar Mascarell,59,0,1
Mallorca,Copete,45,0,1
Mallorca,Vedat Muriqi,90,0,1
Mallorca,Manu Morlanes,84,0,1
Mallorca,Jaume Costa,90,0,1
Mallorca,Dani Rodríguez,90,0,1
Mallorca,Pablo Maffeo,90,0,1
Mallorca,Giovanni González,45,0,1
Mallorca,Amath,59,0,1
Mallorca,Martin Valjent,90,0,1
Mallorca,Sergi Darder,45,45,1
Mallorca,Samu Costa,31,59,1
Mallorca,Cyle Larin,31,59,1
Mallorca,Antonio Raillo,45,45,1
Mallorca,Javier Llabrés,6,84,1
Athletic Club,Unai Simón,90,0,1
Athletic Club,Daniel Vivian,90,0,1
Athletic Club,Aitor Paredes,90,0,1
Athletic Club,Mikel Vesga,63,0,1
Athletic Club,Iñaki Williams,90,0,1
Athletic Club,Iker Muniain,45,0,1
Athletic Club,Nico Williams,45,0,1
Athletic Club,Iñigo Lekue,70,0,1
Athletic Club,Iñigo Ruiz de Galarreta,90,0,1
Athletic Club,Óscar de Marcos,90,0,1
Athletic Club,Unai Gómez,45,0,1
Athletic Club,Álex Berenguer,45,45,1
Athletic Club,Oihan Sancet,45,45,1
Athletic Club,Gorka Guruzeta,45,45,1
Athletic Club,Imanol,20,70,1
Athletic Club,Ander Herrera,27,63,1
Real Madrid,Andriy Lunin,90,0,1
Real Madrid,Dani Carvajal,90,0,1
Real Madrid,Éder Militão,49,0,1
Real Madrid,David Alaba,90,0,1
Real Madrid,Jude Bellingham,90,0,1
Real Madrid,Vinicius Júnior,79,0,1
Real Madrid,Rodrygo,79,0,1
Real Madrid,Eduardo Camavinga,70,0,1
Real Madrid,Federico Valverde,90,0,1
Real Madrid,Aurélien Tchouaméni,90,0,1
Real Madrid,Fran Garcia,90,0,1
Real Madrid,Toni Kroos,20,70,1
Real Madrid,Luka Modrić,11,79,1
Real Madrid,Joselu,11,79,1
Real Madrid,Antonio Rüdiger,41,49,1
Celta Vigo,Iván Villar,90,0,1
Celta Vigo,Óscar Mingueza,90,0,1
Celta Vigo,Unai Núñez,90,0,1
Celta Vigo,Carles Pérez,62,0,1
Celta Vigo,Fran Beltrán,90,0,1
Celta Vigo,Iago Aspas,81,0,1
Celta Vigo,Franco Cervi,80,0,1
Celta Vigo,Joseph Aidoo,90,0,1
Celta Vigo,Jonathan Bamba,90,0,1
Celta Vigo,Jørgen Strand Larsen,72,0,1
Celta Vigo,Hugo Sotelo,80,0,1
Celta Vigo,Luca de la Torre,10,80,1
Celta Vigo,Williot Swedberg,9,81,1
Celta Vigo,Manu Sánchez,10,80,1
Celta Vigo,Gabriel Veiga,18,72,1
Celta Vigo,Miguel Rodríguez,28,62,1
Osasuna,Sergio Herrera,90,0,1
Osasuna,David García,90,0,1
Osasuna,Lucas Torró,89,0,1
Osasuna,Jon Moncayola,89,0,1
Osasuna,Aimar Oroz,78,0,1
Osasuna,Rubén García,66,0,1
Osasuna,Rubén Peña,90,0,1
Osasuna,Moi Gómez,90,0,1
Osasuna,Ante Budimir,78,0,1
Osasuna,Johan Mojica,90,0,1
Osasuna,Catena,90,0,1
Osasuna,Ezequiel Ávila,12,78,1
Osasuna,Jesús Areso,12,78,1
Osasuna,Pablo Ibáñez,24,66,1
Osasuna,José Arnaiz,1,89,1
Osasuna,Iker Muñoz,1,89,1
Villarreal,Filip Jørgensen,90,0,1
Villarreal,Santi Comesaña,56,0,1
Villarreal,Jorge Cuenca,90,0,1
Villarreal,Gerard Moreno,83,0,1
Villarreal,Juan Foyth,90,0,1
Villarreal,Daniel Parejo,90,0,1
Villarreal,Alexander Sørloth,90,0,1
Villarreal,Alex Baena,90,0,1
Villarreal,Alberto Moreno,23,0,1
Villarreal,Ramón Terrats,82,0,1
Villarreal,Aïssa Mandi,90,0,1
Villarreal,Étienne Capoue,34,56,1
Villarreal,José Luis Morales,8,82,1
Villarreal,Denis Suárez,7,83,1
Villarreal,Alfonso Pedraza,67,23,1
Real Betis,Rui Silva,90,0,1
Real Betis,Guido Rodríguez,89,0,1
Real Betis,Germán Pezzella,90,0,1
Real Betis,Borja Iglesias,45,0,1
Real Betis,Ayoze Pérez,83,0,1
Real Betis,Luiz Henrique,70,0,1
Real Betis,Luiz Felipe,90,0,1
Real Betis,Abner,90,0,1
Real Betis,Marc Roca,90,0,1
Real Betis,Isco,70,0,1
Real Betis,Youssouf Sabaly,90,0,1
Real Betis,Paul Akouokou,1,89,1
Real Betis,Willian José,45,45,1
Real Betis,Rodri,20,70,1
Real Betis,Andrés Guardado,7,83,1
Real Betis,Aitor Ruibal,20,70,1
Getafe,David Soria,90,0,1
Getafe,Djené,90,0,1
Getafe,Gastón Álvarez,90,0,1
Getafe,Domingos Duarte,90,0,1
Getafe,Jaime Mata,56,0,1
Getafe,Carles Aleñá,64,0,1
Getafe,Juanmi Latasa,63,0,1
Getafe,Nemanja Maksimović,90,0,1
Getafe,Iglesias,90,0,1
Getafe,Damián Suárez,90,0,1
Getafe,Stefan Mitrović,45,0,1
Getafe,Portu,45,45,1
Getafe,Anthony Lozano,26,64,1
Getafe,Borja Mayoral,27,63,1
Barcelona,Marc-André ter Stegen,90,0,1
Barcelona,Ronald Araújo,90,0,1
Barcelona,Pedri,78,0,1
Barcelona,Robert Lewandowski,90,0,1
Barcelona,Raphinha,41,0,1
Barcelona,Andreas Christensen,45,0,1
Barcelona,Oriol Romeu,75,0,1
Barcelona,Frenkie de Jong,90,0,1
Barcelona,İlkay Gündoğan,78,0,1
Barcelona,Jules Koundé,90,0,1
Barcelona,Alejandro Balde,90,0,1
Barcelona,Gavi,12,78,1
Barcelona,Ansu Fati,12,78,1
Barcelona,Abdessamad Ezzalzouli,45,45,1
Barcelona,Lamine Yamal,15,75,1
Cádiz,Jeremías Ledesma,90,0,1
Cádiz,Fali,90,0,1
Cádiz,Rubén Alcaraz,90,0,1
Cádiz,Iván Alejo,64,0,1
Cádiz,Javi Hernández,64,0,1
Cádiz,Chris Ramos,90,0,1
Cádiz,Darwin Machís,86,0,1
Cádiz,Isaac Carcelen,90,0,1
Cádiz,Roger Martí,86,0,1
Cádiz,Luis Hernández,90,0,1
Cádiz,Fede San Emeterio,70,0,1
Cádiz,Rubén Sobrino,26,64,1
Cádiz,Álex Fernández,4,86,1
