stable,team,jornada,season
99.15470494417863,Almería,2,2024
99.74481658692186,Rayo Vallecano,2,2024
98.95800106326422,Sevilla,2,2024
99.83519404572036,Valencia,2,2024
99.82190324295587,Real Sociedad,2,2024
99.73950026581606,Girona,2,2024
99.36469962785752,Las Palmas,2,2024
99.774056353003715,Mallorca,2,2024
99.54545454545455,Athletic Club,2,2024
99.68102073365232,Real Madrid,2,2024
99.30356193514088,Celta Vigo,2,2024
99.55475810738969,Osasuna,2,2024
99.43912812333865,Villarreal,2,2024
99.76608187134502,Real Betis,2,2024
99.76342371079213,Getafe,2,2024
99.46703880914407,Barcelona,2,2024
99.67171717171718,Cádiz,2,2024
99.40723019670388,Alavés,2,2024
99.4922913343966,Atlético Madrid,2,2024
99.4404572036151,Granada,2,2024
98.6217437533227,Almería,3,2024
99.45241892610314,Rayo Vallecano,3,2024
98.056884635832,Sevilla,3,2024
99.50292397660819,Valencia,3,2024
99.40191387559808,Real Sociedad,3,2024
99.49760765550239,Girona,3,2024
98.86230728335991,Las Palmas,3,2024
99.23710792131845,Mallorca,3,2024
99.0882509303562,Athletic Club,3,2024
99.02711323763955,Real Madrid,3,2024
99.03774587985114,Celta Vigo,3,2024
97.93460925039872,Osasuna,3,2024
99.15470494417863,Villarreal,3,2024
99.35672514619883,Real Betis,3,2024
99.42317916002126,Getafe,3,2024
98.79984051036682,Barcelona,3,2024
99.1839447102605,Cádiz,3,2024
99.25039872408294,Alavés,3,2024
98.84104199893673,Atlético Madrid,3,2024
98.99255715045189,Granada,3,2024
97.97182349813929,Almería,4,2024
99.16533758639022,Rayo Vallecano,4,2024
97.49335459861776,Sevilla,4,2024
98.99521531100478,Valencia,4,2024
98.97129186602871,Real Sociedad,4,2024
99.27166400850611,Girona,4,2024
98.40510366826156,Las Palmas,4,2024
98.5805422647528,Mallorca,4,2024
98.54864433811802,Athletic Club,4,2024
98.59914938862308,Real Madrid,4,2024
98.59914938862308,Celta Vigo,4,2024
97.10659223817119,Osasuna,4,2024
98.18580542264753,Villarreal,4,2024
98.80914407230196,Real Betis,4,2024
99.06964380648591,Getafe,4,2024
98.25491759702285,Barcelona,4,2024
99.06565656565657,Cádiz,4,2024
98.64965443912813,Alavés,4,2024
97.77777777777777,Atlético Madrid,4,2024
98.41041998936736,Granada,4,2024
97.02817650186071,Almería,5,2024
98.64433811802233,Rayo Vallecano,5,2024
96.13503455608719,Sevilla,5,2024
98.51143009037746,Valencia,5,2024
98.90749601275917,Real Sociedad,5,2024
98.69484316852738,Girona,5,2024
97.92929292929293,Las Palmas,5,2024
98.10207336523126,Mallorca,5,2024
97.89473684210526,Athletic Club,5,2024
98.1658692185008,Real Madrid,5,2024
98.24827219564062,Celta Vigo,5,2024
95.83732057416267,Osasuna,5,2024
97.12387028176502,Villarreal,5,2024
97.5491759702286,Real Betis,5,2024
98.43700159489633,Getafe,5,2024
97.73125996810208,Barcelona,5,2024
98.8264221158958,Cádiz,5,2024
98.0701754385965,Alavés,5,2024
96.77033492822966,Atlético Madrid,5,2024
97.910685805422645,Granada,5,2024
96.81020733652312,Almería,6,2024
98.42105263157895,Rayo Vallecano,6,2024
94.57735247208932,Sevilla,6,2024
98.14194577352472,Valencia,6,2024
98.21903242955875,Real Sociedad,6,2024
98.30409356725146,Girona,6,2024
97.35645933014354,Las Palmas,6,2024
97.75651249335459,Mallorca,6,2024
97.79904306220095,Athletic Club,6,2024
97.71132376395535,Real Madrid,6,2024
98.16055289739501,Celta Vigo,6,2024
95.07974481658692,Osasuna,6,2024
96.47527910685805,Villarreal,6,2024
96.50186071238703,Real Betis,6,2024
97.94258373205741,Getafe,6,2024
97.22355130249868,Barcelona,6,2024
98.29479000531632,Cádiz,6,2024
97.4508240297714,Alavés,6,2024
96.41679957469431,Atlético Madrid,6,2024
97.09463051568315,Granada,6,2024
95.8160552897395,Almería,7,2024
97.65151515151516,Rayo Vallecano,7,2024
93.33067517278043,Sevilla,7,2024
97.58107389686337,Valencia,7,2024
96.77033492822966,Real Sociedad,7,2024
97.6608187134503,Girona,7,2024
96.21477937267412,Las Palmas,7,2024
96.96172248803828,Mallorca,7,2024
97.23817118553961,Athletic Club,7,2024
96.94577352472089,Real Madrid,7,2024
97.67012227538544,Celta Vigo,7,2024
94.32482721956406,Osasuna,7,2024
95.69643806485912,Villarreal,7,2024
95.39606592238171,Real Betis,7,2024
96.61881977671452,Getafe,7,2024
96.34104199893673,Barcelona,7,2024
97.74720893141946,Cádiz,7,2024
96.65071770334929,Alavés,7,2024
95.77086656034024,Atlético Madrid,7,2024
96.58958001063264,Granada,7,2024
94.70760233918129,Almería,8,2024
96.9404572036151,Rayo Vallecano,8,2024
92.29133439659755,Sevilla,8,2024
96.9324827219564,Valencia,8,2024
95.28708133971291,Real Sociedad,8,2024
97.10792131844764,Girona,8,2024
94.95746943115364,Las Palmas,8,2024
96.4194577352472,Mallorca,8,2024
96.5257841573631,Athletic Club,8,2024
96.10446570972887,Real Madrid,8,2024
96.94843168527379,Celta Vigo,8,2024
93.0648591174907,Osasuna,8,2024
94.92557150451887,Villarreal,8,2024
94.39393939393939,Real Betis,8,2024
95.68048910154174,Getafe,8,2024
95.51169590643275,Barcelona,8,2024
96.43939393939394,Cádiz,8,2024
95.77352472089314,Alavés,8,2024
95.14885699096226,Atlético Madrid,8,2024
96.11642743221691,Granada,8,2024
93.96597554492291,Almería,9,2024
96.54173312068049,Rayo Vallecano,9,2024
91.26262626262627,Sevilla,9,2024
96.16959064327486,Valencia,9,2024
94.84316852737905,Real Sociedad,9,2024
96.69856459330144,Girona,9,2024
94.50824029771398,Las Palmas,9,2024
96.26794258373205,Mallorca,9,2024
95.9090909090909,Athletic Club,9,2024
95.57947900053163,Real Madrid,9,2024
95.96225412014886,Celta Vigo,9,2024
92.45614035087719,Osasuna,9,2024
94.26103136629452,Villarreal,9,2024
93.75730994152048,Real Betis,9,2024
95.01993620414673,Getafe,9,2024
95.03588516746412,Barcelona,9,2024
95.53163211057948,Cádiz,9,2024
94.80595427963848,Alavés,9,2024
94.6996278575226,Atlético Madrid,9,2024
95.60074428495481,Granada,9,2024
92.57575757575758,Almería,10,2024
96.29585326953747,Rayo Vallecano,10,2024
90.60340244550771,Sevilla,10,2024
95.70972886762361,Valencia,10,2024
94.29292929292929,Real Sociedad,10,2024
96.50983519404572,Girona,10,2024
94.1892610313663,Las Palmas,10,2024
95.89048378522062,Mallorca,10,2024
95.38277511961722,Athletic Club,10,2024
94.87506645401382,Real Madrid,10,2024
95.28176501860712,Celta Vigo,10,2024
91.97767145135566,Osasuna,10,2024
93.30409356725146,Villarreal,10,2024
92.97182349813929,Real Betis,10,2024
94.4869750132908,Getafe,10,2024
94.56804891015418,Barcelona,10,2024
94.95481127060074,Cádiz,10,2024
94.0855927698033,Alavés,10,2024
94.09356725146199,Atlético Madrid,10,2024
95.31499202551834,Granada,10,2024
91.99627857522594,Almería,11,2024
95.62466772993089,Rayo Vallecano,11,2024
89.86443381180223,Sevilla,11,2024
95.56884635832004,Valencia,11,2024
93.5672514619883,Real Sociedad,11,2024
96.05263157894737,Girona,11,2024
93.72939925571505,Las Palmas,11,2024
95.31897926634768,Mallorca,11,2024
94.86975013290802,Athletic Club,11,2024
94.64646464646465,Real Madrid,11,2024
94.56140350877193,Celta Vigo,11,2024
91.6400850611377,Osasuna,11,2024
92.29665071770334,Villarreal,11,2024
92.20361509835195,Real Betis,11,2024
93.79319510898458,Getafe,11,2024
94.17995746943116,Barcelona,11,2024
94.16135034556088,Cádiz,11,2024
93.75598086124401,Alavés,11,2024
93.72674109516214,Atlético Madrid,11,2024
94.4843168527379,Granada,11,2024
90.73896863370547,Almería,12,2024
95.05316321105795,Rayo Vallecano,12,2024
89.20255183413079,Sevilla,12,2024
95.42530568846358,Valencia,12,2024
92.910685805422645,Real Sociedad,12,2024
95.66188197767146,Girona,12,2024
93.47687400318979,Las Palmas,12,2024
94.65443912812334,Mallorca,12,2024
94.29027113237639,Athletic Club,12,2024
94.04572036150984,Real Madrid,12,2024
93.95534290271132,Celta Vigo,12,2024
91.34502923976608,Osasuna,12,2024
91.85007974481658,Villarreal,12,2024
92.0441254651781,Real Betis,12,2024
93.04492291334397,Getafe,12,2024
93.73870281765019,Barcelona,12,2024
93.43833067517278,Cádiz,12,2024
93.23232323232324,Alavés,12,2024
93.15789473684211,Atlético Madrid,12,2024
93.83838383838383,Granada,12,2024
90.44657097288676,Almería,13,2024
94.63849016480596,Rayo Vallecano,13,2024
88.4635832004253,Sevilla,13,2024
95.06645401382244,Valencia,13,2024
92.05741626794259,Real Sociedad,13,2024
95.47581073896863,Girona,13,2024
93.25890483785221,Las Palmas,13,2024
93.63902179691654,Mallorca,13,2024
94.12812333864966,Athletic Club,13,2024
92.745879851143,Real Madrid,13,2024
93.45826687931951,Celta Vigo,13,2024
91.18288144603935,Osasuna,13,2024
91.15629984051037,Villarreal,13,2024
91.62679425837321,Real Betis,13,2024
92.63423710792132,Getafe,13,2024
93.225677830941,Barcelona,13,2024
92.56911217437533,Cádiz,13,2024
92.57575757575758,Alavés,13,2024
92.40297713981924,Atlético Madrid,13,2024
93.46092503987241,Granada,13,2024
90.09569377990431,Almería,14,2024
94.11217437533227,Rayo Vallecano,14,2024
87.39234449760765,Sevilla,14,2024
94.78203083466241,Valencia,14,2024
91.26794258373207,Real Sociedad,14,2024
95.17543859649123,Girona,14,2024
92.88942052099947,Las Palmas,14,2024
92.81499202551834,Mallorca,14,2024
93.9845826687932,Athletic Club,14,2024
91.75172780435938,Real Madrid,14,2024
93.03827751196172,Celta Vigo,14,2024
90.86390217969165,Osasuna,14,2024
90.32163742690058,Villarreal,14,2024
91.0260499734184,Real Betis,14,2024
92.23551302498672,Getafe,14,2024
92.11988304093568,Barcelona,14,2024
91.54837852206273,Cádiz,14,2024
92.22222222222223,Alavés,14,2024
91.91121743753322,Atlético Madrid,14,2024
93.09941520467837,Granada,14,2024
89.37001594896331,Almería,15,2024
93.58320042530569,Rayo Vallecano,15,2024
86.6294524189261,Sevilla,15,2024
94.3806485911749,Valencia,15,2024
90.85858585858585,Real Sociedad,15,2024
94.56671982987773,Girona,15,2024
92.54120148856991,Las Palmas,15,2024
92.046783625731,Mallorca,15,2024
93.56459330143541,Athletic Club,15,2024
91.13503455608719,Real Madrid,15,2024
92.48538011695906,Celta Vigo,15,2024
90.36150983519404,Osasuna,15,2024
90.103668261563,Villarreal,15,2024
89.76874003189792,Real Betis,15,2024
92.00558213716108,Getafe,15,2024
91.19484316852738,Barcelona,15,2024
90.97953216374269,Cádiz,15,2024
92.11057947900053,Alavés,15,2024
91.34768740031897,Atlético Madrid,15,2024
92.31791600212652,Granada,15,2024
88.92344497607655,Almería,16,2024
92.8522062732589,Rayo Vallecano,16,2024
86.39021796916533,Sevilla,16,2024
94.22913343965976,Valencia,16,2024
90.27113237639553,Real Sociedad,16,2024
94.27166400850612,Girona,16,2024
92.30462519936204,Las Palmas,16,2024
91.27857522594364,Mallorca,16,2024
93.21105794790006,Athletic Club,16,2024
90.80276448697501,Real Madrid,16,2024
91.9351408825093,Celta Vigo,16,2024
89.60925039872409,Osasuna,16,2024
89.75279106858054,Villarreal,16,2024
89.21584263689527,Real Betis,16,2024
91.21079213184476,Getafe,16,2024
91.03801169590643,Barcelona,16,2024
90.37347155768208,Cádiz,16,2024
91.78894205209994,Alavés,16,2024
90.69643806485912,Atlético Madrid,16,2024
91.95906432748538,Granada,16,2024
88.56459330143541,Almería,17,2024
92.06273258904838,Rayo Vallecano,17,2024
85.83200425305688,Sevilla,17,2024
93.3572567783094,Valencia,17,2024
89.53748006379585,Real Sociedad,17,2024
93.8782562466773,Girona,17,2024
91.62147793726741,Las Palmas,17,2024
90.80010632642211,Mallorca,17,2024
92.68208399787348,Athletic Club,17,2024
90.43328017012227,Real Madrid,17,2024
90.8652312599681,Celta Vigo,17,2024
89.11483253588517,Osasuna,17,2024
88.99255715045189,Villarreal,17,2024
89.05369484316853,Real Betis,17,2024
90.622009569378,Getafe,17,2024
90.75093035619352,Barcelona,17,2024
89.53349282296651,Cádiz,17,2024
91.07123870281765,Alavés,17,2024
90.08107389686337,Atlético Madrid,17,2024
91.85007974481658,Granada,17,2024
88.04359383306752,Almería,18,2024
91.05794790005316,Rayo Vallecano,18,2024
85.52897395002658,Sevilla,18,2024
92.97581073896863,Valencia,18,2024
88.92610313662945,Real Sociedad,18,2024
93.50079744816587,Girona,18,2024
90.75491759702285,Las Palmas,18,2024
90.44391281233386,Mallorca,18,2024
92.43221690590111,Athletic Club,18,2024
89.87373737373737,Real Madrid,18,2024
90.2099946836789,Celta Vigo,18,2024
88.47687400318979,Osasuna,18,2024
88.0595427963849,Villarreal,18,2024
88.22434875066455,Real Betis,18,2024
90.18341307814993,Getafe,18,2024
90.04385964912281,Barcelona,18,2024
89.07628920786816,Cádiz,18,2024
90.57416267942584,Alavés,18,2024
89.27033492822966,Atlético Madrid,18,2024
91.47262094630516,Granada,18,2024
87.30196703880914,Almería,19,2024
89.9973418394471,Rayo Vallecano,19,2024
84.84051036682615,Sevilla,19,2024
91.92450824029771,Valencia,19,2024
88.36124401913875,Real Sociedad,19,2024
93.18979266347688,Girona,19,2024
89.86310473152578,Las Palmas,19,2024
90.12493354598618,Mallorca,19,2024
91.88729399255715,Athletic Club,19,2024
89.02711323763955,Real Madrid,19,2024
89.11483253588517,Celta Vigo,19,2024
87.82296650717703,Osasuna,19,2024
86.7224880382775,Villarreal,19,2024
87.18234981392877,Real Betis,19,2024
89.47368421052632,Getafe,19,2024
89.46172248803828,Barcelona,19,2024
88.25624667729932,Cádiz,19,2024
89.8883572567783,Alavés,19,2024
88.64433811802233,Atlético Madrid,19,2024
90.4066985645933,Granada,19,2024
86.92716640085061,Almería,20,2024
89.36469962785752,Rayo Vallecano,20,2024
83.88623072833599,Sevilla,20,2024
91.61881977671452,Valencia,20,2024
87.56246677299309,Real Sociedad,20,2024
92.64354066985646,Girona,20,2024
89.377990430622,Las Palmas,20,2024
89.66241360978204,Mallorca,20,2024
91.75172780435938,Athletic Club,20,2024
88.26687931951089,Real Madrid,20,2024
88.49016480595428,Celta Vigo,20,2024
86.96969696969697,Osasuna,20,2024
85.96757044125465,Villarreal,20,2024
86.48591174906964,Real Betis,20,2024
88.81977671451355,Getafe,20,2024
88.78123338649654,Barcelona,20,2024
87.40696438064859,Cádiz,20,2024
89.36469962785752,Alavés,20,2024
87.87347155768208,Atlético Madrid,20,2024
89.83253588516746,Granada,20,2024
86.2280701754386,Almería,21,2024
89.00584795321637,Rayo Vallecano,21,2024
82.80435938330675,Sevilla,21,2024
91.30249867091972,Valencia,21,2024
86.18553960659224,Real Sociedad,21,2024
91.76767676767676,Girona,21,2024
89.2902711323764,Las Palmas,21,2024
88.82775119617224,Mallorca,21,2024
91.36097820308346,Athletic Club,21,2024
87.32323232323232,Real Madrid,21,2024
88.09941520467837,Celta Vigo,21,2024
86.81818181818181,Osasuna,21,2024
85.17809675704413,Villarreal,21,2024
85.82668793195108,Real Betis,21,2024
88.08346624136098,Getafe,21,2024
88.14061669324828,Barcelona,21,2024
86.44471026049973,Cádiz,21,2024
88.85964912280701,Alavés,21,2024
87.02020202020202,Atlético Madrid,21,2024
89.35406698564593,Granada,21,2024
85.3987240829346,Almería,22,2024
88.38649654439128,Rayo Vallecano,22,2024
81.51382243487507,Sevilla,22,2024
91.0180754917597,Valencia,22,2024
85.19138755980862,Real Sociedad,22,2024
91.08187134502924,Girona,22,2024
89.04837852206273,Las Palmas,22,2024
88.22700691121744,Mallorca,22,2024
89.9973418394471,Athletic Club,22,2024
85.86390217969165,Real Madrid,22,2024
87.43487506645401,Celta Vigo,22,2024
85.12493354598618,Osasuna,22,2024
84.97076023391813,Villarreal,22,2024
85.27379053694844,Real Betis,22,2024
86.98830409356725,Getafe,22,2024
87.59569377990431,Barcelona,22,2024
85.91573631047315,Cádiz,22,2024
88.53269537480064,Alavés,22,2024
85.93567251461988,Atlético Madrid,22,2024
89.01116427432217,Granada,22,2024
84.55342902711324,Almería,23,2024
87.84423179160021,Rayo Vallecano,23,2024
80.87719298245614,Sevilla,23,2024
90.6113769271664,Valencia,23,2024
84.55077086656034,Real Sociedad,23,2024
90.56618819776715,Girona,23,2024
88.60712387028177,Las Palmas,23,2024
87.24880382775119,Mallorca,23,2024
88.76129718234981,Athletic Club,23,2024
84.93088782562467,Real Madrid,23,2024
86.52046783625731,Celta Vigo,23,2024
83.55927698032961,Osasuna,23,2024
84.43115364167996,Villarreal,23,2024
84.4843168527379,Real Betis,23,2024
86.25199362041468,Getafe,23,2024
87.21158958001064,Barcelona,23,2024
85.32828282828282,Cádiz,23,2024
87.96916533758639,Alavés,23,2024
85.1063264221159,Atlético Madrid,23,2024
88.3625730994152,Granada,23,2024
83.69218500797447,Almería,24,2024
87.22753854332802,Rayo Vallecano,24,2024
80.22860180754918,Sevilla,24,2024
90.2046783625731,Valencia,24,2024
83.8809144072302,Real Sociedad,24,2024
89.9973418394471,Girona,24,2024
88.01169590643275,Las Palmas,24,2024
86.43806485911749,Mallorca,24,2024
87.9585326953748,Athletic Club,24,2024
84.39659755449229,Real Madrid,24,2024
86.24136097820309,Celta Vigo,24,2024
82.37639553429027,Osasuna,24,2024
83.91281233386496,Villarreal,24,2024
83.60712387028177,Real Betis,24,2024
85.57947900053163,Getafe,24,2024
86.49255715045189,Barcelona,24,2024
84.69032429558746,Cádiz,24,2024
87.26475279106859,Alavés,24,2024
84.47900053163211,Atlético Madrid,24,2024
87.39766081871345,Granada,24,2024
83.13662945241893,Almería,25,2024
86.40616693248272,Rayo Vallecano,25,2024
79.6943115364168,Sevilla,25,2024
89.62785752259437,Valencia,25,2024
83.1632110579479,Real Sociedad,25,2024
89.45241892610314,Girona,25,2024
87.72461456671984,Las Palmas,25,2024
85.75225943646996,Mallorca,25,2024
86.98830409356725,Athletic Club,25,2024
